Region,Provincia,FUERZA POPULAR,PARTIDO POLITICO NACIONAL PERU LIBRE,ratio_keiko_castillo
AMAZONAS,CHACHAPOYAS,0.4006,0.5994,0.668335001668335
AMAZONAS,BAGUA,0.2931,0.7069,0.414627245720753
AMAZONAS,BONGARA,0.3835,0.6165,0.6220600162206
AMAZONAS,LUYA,0.3834,0.6166,0.621796951021732
AMAZONAS,RODRIGUEZ DE MENDOZA,0.408,0.592,0.689189189189189
AMAZONAS,CONDORCANQUI,0.0935,0.9065,0.103143960286817
AMAZONAS,UTCUBAMBA,0.3447,0.6553,0.526018617427133
ANCASH,HUARAZ,0.3615,0.6385,0.566170712607674
ANCASH,AIJA,0.378,0.622,0.607717041800643
ANCASH,BOLOGNESI,0.3418,0.6582,0.519295047098146
ANCASH,CARHUAZ,0.3138,0.6862,0.457301078402798
ANCASH,CASMA,0.5785,0.4215,1.37247924080664
ANCASH,CORONGO,0.4018,0.5982,0.671681711802073
ANCASH,HUAYLAS,0.5147,0.4853,1.06058108386565
ANCASH,HUARI,0.1975,0.8025,0.246105919003115
ANCASH,MARISCAL LUZURIAGA,0.1626,0.8374,0.194172438500119
ANCASH,PALLASCA,0.2699,0.7301,0.369675386933297
ANCASH,POMABAMBA,0.2181,0.7819,0.278935925310142
ANCASH,RECUAY,0.2671,0.7329,0.364442625187611
ANCASH,SANTA,0.5114,0.4886,1.04666393778142
ANCASH,SIHUAS,0.2637,0.7363,0.35814206165965
ANCASH,YUNGAY,0.3205,0.6795,0.471670345842531
ANCASH,ANTONIO RAIMONDI,0.1348,0.8652,0.155802126675913
ANCASH,CARLOS FERMIN FITZCARRALD,0.208,0.792,0.262626262626263
ANCASH,ASUNCION,0.2243,0.7757,0.28915817970865
ANCASH,HUARMEY,0.5477,0.4523,1.21092195445501
ANCASH,OCROS,0.5129,0.4871,1.05296653664545
APURIMAC,ABANCAY,0.2577,0.7423,0.347164219318335
APURIMAC,AYMARAES,0.2007,0.7993,0.251094707869386
